Frequency	Imp. Mag	Imp. Angle
+3.17377557336669E+003	+2.26851469908485E+001	+3.48956764119105E+001
+3.22510896271451E+003	+2.27599092981052E+001	+3.57625818663003E+001
+3.27727263032273E+003	+2.28568726904790E+001	+3.62400057448864E+001
+3.33028000530635E+003	+2.29627898331819E+001	+3.61533689600588E+001
+3.38414473398605E+003	+2.29460737038343E+001	+3.68910305403445E+001
+3.43888068340128E+003	+2.30445092379019E+001	+3.75933368543069E+001
+3.49450194488023E+003	+2.32630356801895E+001	+3.79348977663860E+001
+3.55102283766755E+003	+2.34315776758195E+001	+3.71655821459972E+001
+3.60845791261068E+003	+2.33592789326059E+001	+3.57038765072696E+001
+3.66682195590589E+003	+2.32294814342151E+001	+3.68919609141757E+001
+3.72612999290486E+003	+2.33206189355535E+001	+3.79031497258570E+001
+3.78639729198281E+003	+2.34694988669724E+001	+3.81523762979117E+001
+3.84763936846924E+003	+2.36310510639815E+001	+3.80898750100807E+001
+3.90987198864223E+003	+2.36987623972795E+001	+3.73406985774765E+001
+3.97311117378733E+003	+2.35941057813382E+001	+3.72763710137519E+001
+4.03737320432210E+003	+2.36403298563242E+001	+3.78739065589668E+001
+4.10267462398741E+003	+2.37413245102088E+001	+3.82261742272665E+001
+4.16903224410645E+003	+2.38910463383114E+001	+3.76889698197285E+001
+4.23646314791271E+003	+2.37807273666790E+001	+3.67105172963704E+001
+4.30498469494787E+003	+2.36170761167393E+001	+3.76371182410821E+001
+4.37461452553093E+003	+2.36576380173457E+001	+3.87143580986769E+001
+4.44537056529952E+003	+2.37235370845469E+001	+3.93423790976318E+001
+4.51727102982474E+003	+2.37903551820338E+001	+3.99888608105533E+001
+4.59033442930060E+003	+2.38739619287012E+001	+4.04972699637399E+001
+4.66457957330934E+003	+2.39588396360036E+001	+4.09657320423761E+001
+4.74002557566374E+003	+2.40536196761972E+001	+4.13828666051967E+001
