Frequency	Imp. Mag	Imp. Angle
+3.66682195590589E+003	+2.52083525324210E+001	+3.80421737522558E+001
+3.72612999290486E+003	+2.52833198237311E+001	+3.85521589851542E+001
+3.78639729198281E+003	+2.53653747618520E+001	+3.89480652295259E+001
+3.84763936846924E+003	+2.54717682187503E+001	+3.93561488160253E+001
+3.90987198864223E+003	+2.55622926236899E+001	+3.96276157973943E+001
+3.97311117378733E+003	+2.56356917540641E+001	+3.98044785576841E+001
+4.03737320432210E+003	+2.57181178898017E+001	+3.99974582118872E+001
+4.10267462398741E+003	+2.57935062880813E+001	+4.02829286599504E+001
+4.16903224410645E+003	+2.58799725342916E+001	+4.05653886422636E+001
+4.23646314791271E+003	+2.59676322565381E+001	+4.07885741353014E+001
+4.30498469494787E+003	+2.60296496385087E+001	+4.08850729378104E+001
+4.37461452553093E+003	+2.60906742845192E+001	+4.11145198041353E+001
+4.44537056529952E+003	+2.61678964362728E+001	+4.13858904395930E+001
+4.51727102982474E+003	+2.62452083920490E+001	+4.16749959131219E+001
+4.59033442930060E+003	+2.63305171863163E+001	+4.19590046607337E+001
+4.66457957330934E+003	+2.64155846812665E+001	+4.22578062893511E+001
+4.74002557566374E+003	+2.65044757650278E+001	+4.24932179697590E+001
