Frequency	Imp. Mag	Imp. Angle
+2.05795267719829E+003	+2.45479834794135E+001	+3.35319949322944E+001
+2.09123848572380E+003	+2.40948863744558E+001	+2.87316268762892E+001
+2.12506266671116E+003	+2.34901282649920E+001	+3.56882800614018E+001
+2.15943392792264E+003	+2.40109839897875E+001	+3.54434277884590E+001
+2.19436111796190E+003	+2.41093320599070E+001	+3.68249929889568E+001
+2.22985322855199E+003	+2.45322718877233E+001	+3.80533677336882E+001
+2.26591939685019E+003	+2.50498608478783E+001	+3.68454554511172E+001
+2.30256890780030E+003	+2.51966568624208E+001	+3.39488595588265E+001
+2.33981119652298E+003	+2.52347047943041E+001	+3.05390359327976E+001
+2.37765585074473E+003	+2.45711158109536E+001	+3.07840358493630E+001
+2.41611261326620E+003	+2.51150384391753E+001	+3.51949752005693E+001
+2.45519138447036E+003	+2.53439744699963E+001	+3.03901645944824E+001
+2.49490222487133E+003	+2.52724708154042E+001	+3.05471551200264E+001
+2.53525535770429E+003	+2.52139567571949E+001	+2.53845785613114E+001
+2.57626117155745E+003	+2.47106463362897E+001	+2.74500403250221E+001
+2.61793022304647E+003	+2.47739884188799E+001	+2.76994792394178E+001
+2.66027323953220E+003	+2.47379883474709E+001	+2.90356000021292E+001
+2.70330112188232E+003	+2.46662940923203E+001	+2.89520625028842E+001
+2.74702494727769E+003	+2.43491382931927E+001	+2.76643154527460E+001
+2.79145597206411E+003	+2.42426771367881E+001	+2.99652403447057E+001
+2.83660563465014E+003	+2.42305856987659E+001	+3.30204369443553E+001
+2.88248555845182E+003	+2.42867373397808E+001	+3.25464267411185E+001
+2.92910755488509E+003	+2.44425951092970E+001	+3.40565293704732E+001
+2.97648362640644E+003	+2.46224432491087E+001	+3.36922678090553E+001
+3.02462596960296E+003	+2.43846687598571E+001	+3.46890704187330E+001
+3.07354697833215E+003	+2.46295240199093E+001	+3.57792235815448E+001
+3.12325924691268E+003	+2.49263722792079E+001	+3.71459138736398E+001
+3.17377557336669E+003	+2.52983913212985E+001	+3.54365451388975E+001
+3.22510896271451E+003	+2.48414405652817E+001	+3.23264440144841E+001
+3.27727263032273E+003	+2.52068346775260E+001	+3.73928223725037E+001
+3.33028000530635E+003	+2.52157629325850E+001	+3.52800860226246E+001
+3.38414473398605E+003	+2.49553781715120E+001	+3.54971116237103E+001
+3.43888068340128E+003	+2.49174616995621E+001	+3.62475222334010E+001
+3.49450194488023E+003	+2.51923345272726E+001	+3.71397176338578E+001
+3.55102283766755E+003	+2.52436004343410E+001	+3.67631880976449E+001
+3.60845791261068E+003	+2.50991844917798E+001	+3.68732242919424E+001
+3.66682195590589E+003	+2.51542293849389E+001	+3.78091733342379E+001
+3.72612999290486E+003	+2.53185366400748E+001	+3.89696103374125E+001
+3.78639729198281E+003	+2.54332974331121E+001	+3.93527674386876E+001
+3.84763936846924E+003	+2.55314546075343E+001	+3.89512048110916E+001
+3.90987198864223E+003	+2.56095831574178E+001	+3.98493159052026E+001
+3.97311117378733E+003	+2.57212298799821E+001	+3.94159782286432E+001
+4.03737320432210E+003	+2.57815290689287E+001	+4.03820855340036E+001
+4.10267462398741E+003	+2.58023730850589E+001	+3.97030884214533E+001
+4.16903224410645E+003	+2.59240364468816E+001	+4.09442117237668E+001
+4.23646314791271E+003	+2.60323910022751E+001	+4.05614100858927E+001
+4.30498469494787E+003	+2.60659107848388E+001	+4.06977218498816E+001
+4.37461452553093E+003	+2.61570715631591E+001	+4.11475283559645E+001
+4.44537056529952E+003	+2.61708725841102E+001	+4.11998677550265E+001
+4.51727102982474E+003	+2.62795629977707E+001	+4.17495701264303E+001
+4.59033442930060E+003	+2.63727133394846E+001	+4.19564954190126E+001
+4.66457957330934E+003	+2.64477097982765E+001	+4.22919429132335E+001
+4.74002557566374E+003	+2.65404833246983E+001	+4.24214824077261E+001
